,res_code,area,res_name_raw,res_name_edited,sex,individual,group_2,group_3,group_4,group_5,group_6,group_7,group_8,year
198,735,WIL,Cedro,"Any,Cedro",m,,,,,,,,,2016
199,738,WIL,Otero,"Any,Otero",m,,,,,,,,,2016
200,739,WIL,Rinconada,"Any,Rinconada",m,,,,,,,,,2016
201,740,WIL,Soto,"Any,Soto",m,,,,,,,,,2016
202,742,WIL,Junipero,"Any,Junipero",m,,,,,,,,,2016
203,31,BRN,"Branner Hall, any room","Any,Branner",f,1892,1497,1497,1183,732,732,679,679,2016
204,281,BRN,"Branner Hall, 1 room single occupancy","1 Room Single,Branner",f,325,317,317,141,126,82,82,,2016
205,282,BRN,"Branner Hall, 1 room double occupancy","1 Room Double,Branner",f,1183,,,,,,,,2016
206,283,BRN,"Branner Hall, triple occupancy","Triple,Branner",f,1892,1497,1497,,,,,,2016
207,284,BRN,"Branner Hall, 2 room double occupancy","2 Room Double,Branner",f,732,732,679,679,546,546,389,389,2016
208,309,CRO,"Crothers Hall, any room","Any,Crothers",f,2996,2996,2995,2987,2959,2959,2957,2952,2016
209,319,CRO,"Crothers Hall, 1 room single occupancy","1 Room Single,Crothers",f,1465,1444,1393,1393,1374,1374,1374,1374,2016
210,329,CRO,"Crothers Hall, 1 room double occupancy","1 Room Double,Crothers",f,2996,2996,2995,2987,2959,2959,2957,2952,2016
211,,DRW,Accept any housing,,f,3028,,,,,,,,2016
212,60,FM,Any Florence Moore Hall,"Any,FloMo",f,2952,2931,2930,2886,2677,2677,2664,2664,2016
213,397,FM,Any East Florence Moore Hall,"Any,East FloMo",f,2952,2931,2930,2886,2677,2677,2664,2664,2016
214,61,FM,Alondra,"Any,Alondra",f,,,,,,,,,2016
215,62,FM,"Cardenal, any room","Any,Cardenal",f,2952,2931,2930,2886,2677,2664,2664,2467,2016
216,398,FM,"Cardenal, 1 room single occupancy","1 Room Single,Cardenal",f,868,,,,,,,,2016
217,399,FM,"Cardenal, 1 room double occupancy","1 Room Double,Cardenal",f,2952,2931,2930,2886,2677,2664,2664,2467,2016
218,63,FM,"Faisan, any room","Any,Faisan",f,2952,2931,2930,2886,2677,2677,2438,2438,2016
219,401,FM,"Faisan, 1 room single occupancy","1 Room Single,Faisan",f,1519,603,,,,,,,2016
220,402,FM,"Faisan, 1 room double occupancy","1 Room Double,Faisan",f,2952,2931,2930,2886,2677,2677,2438,2438,2016
221,415,FM,Any West Florence Moore Hall,"Any,West FloMo",f,2657,2613,2606,2606,2555,2555,2516,2505,2016
222,65,FM,"Loro, any room","Any,Loro",f,2516,1608,1608,1608,1608,1225,,,2016
223,405,FM,"Loro, 1 room single occupancy","1 Room Single,Loro",f,,,,,,,,,2016
224,406,FM,"Loro, 1 room double occupancy","1 Room Double,Loro",f,2516,1608,1608,1608,1608,1225,,,2016
225,66,FM,"Mirlo, any room","Any,Mirlo",f,1933,1933,1852,1765,1765,1765,1765,1697,2016
226,407,FM,"Mirlo, 1 room single occupancy","1 Room Single,Mirlo",f,1238,,,,,,,,2016
227,408,FM,"Mirlo, 1 room double occupancy","1 Room Double,Mirlo",f,1933,1933,1852,1765,1765,1765,1765,1697,2016
228,67,FM,"Paloma, any room","Any,Paloma",f,2657,2613,2606,2606,2555,2555,2505,2505,2016
229,409,FM,"Paloma, 1 room single occupancy","1 Room Single,Paloma",f,1640,1306,,,,,,,2016
230,410,FM,"Paloma, 1 room double occupancy","1 Room Double,Paloma",f,2657,2613,2606,2606,2555,2555,2505,2505,2016
231,64,FM,"Gavilan, any room","Any,Gavilan",f,2914,2019,2019,1969,,,,,2016
232,403,FM,"Gavilan, 1 room single occupancy","1 Room Single,Gavilan",f,,,,,,,,,2016
233,404,FM,"Gavilan, 1 room double occupancy","1 Room Double,Gavilan",f,2914,2019,2019,1969,,,,,2016
234,450,GC,Any Governor's Corner,"Any,Gov Co",f,2850,2824,2824,2824,2738,2738,2735,2735,2016
235,81,GC,"EAST, any room","Any,EAST FloMo",f,2738,2738,2735,2735,2627,2627,2098,1940,2016
236,441,GC,"EAST, 1 room single occupancy","1 Room Single,EAST",f,483,,,,,,,,2016
237,442,GC,"EAST, 1 room double occupancy","1 Room Double,EAST",f,2738,2627,2627,2098,1940,1940,1940,1940,2016
238,443,GC,"EAST, triple occupancy","Triple,EAST",f,2738,2735,2735,,,,,,2016
239,444,GC,"EAST, 2 room double occupancy","2 Room Double,EAST",f,792,90,90,,,,,,2016
240,82,GC,"Murray, any room","Any,Murray",f,2704,2633,2590,2590,2590,2590,2496,2496,2016
241,451,GC,"Murray, 1 room single occupancy","1 Room Single,Murray",f,639,,,,,,,,2016
242,452,GC,"Murray, 1 room double occupancy","1 Room Double,Murray",f,2704,2633,2590,2590,2590,2590,2496,2496,2016
243,454,GC,"Murray, 2 room double occupancy","2 Room Double,Murray",f,1654,1384,1384,869,869,850,311,311,2016
244,83,GC,"Yost, any room","Any,Yost",f,2651,2270,1944,1944,1944,1825,1825,1748,2016
245,461,GC,"Yost, 1 room single occupancy","1 Room Single,Yost",f,456,,,,,,,,2016
246,462,GC,"Yost, 1 room double occupancy","1 Room Double,Yost",f,2651,2270,1944,1944,1944,1825,1825,1748,2016
247,464,GC,"Yost, 2 room double occupancy","2 Room Double,Yost",f,,,,,,,,,2016
248,87,GC,"Suites, any room","Any,Suites",f,502,502,228,1885,1885,1885,1885,1885,2016
249,84,GC,"Suites, 4 person","4-room,Suites",f,502,1083,1083,473,473,473,473,,2016
250,86,GC,"Suites, 6 person","6-room,Suites",f,502,502,1885,1885,1885,1885,1885,1885,2016
251,90,GC,Any Sterling Quadrangle,"Any,SterQuad",f,2850,2824,2824,2824,2738,2738,2730,2666,2016
252,92,GC,"Potter, any room","Any,Potter",f,2648,2648,2648,2648,1894,1879,1879,1879,2016
253,471,GC,"Potter, 1 room single occupancy","1 Room Single,Potter",f,599,263,,,,,,,2016
254,472,GC,"Potter, 1 room double occupancy","1 Room Double,Potter",f,2648,2648,2648,2648,,,,,2016
255,473,GC,"Potter, triple occupancy","Triple,Potter",f,,,,,,,,,2016
256,474,GC,"Potter, 2 room double occupancy","2 Room Double,Potter",f,1894,1879,1879,1879,1849,1849,1806,1806,2016
257,93,GC,"Robinson, any room","Any,Robinson",f,2850,2824,2824,2824,2738,2738,2730,2666,2016
258,481,GC,"Robinson, 1 room single occupancy","1 Room Single,Robinson",f,,,,,,,,,2016
259,482,GC,"Robinson, 1 room double occupancy","1 Room Double,Robinson",f,2850,2824,2824,2824,2738,2738,2730,2666,2016
260,484,GC,"Robinson, 2 room double occupancy","2 Room Double, Robinson",f,2232,2224,2224,2217,2204,2204,2115,2114,2016
261,95,GC,Freshman-Sophomore College,"Any,FroSoCo",f,3028,2996,2996,2995,2987,2984,2959,2959,2016
262,85,GC,"Suites, Jenkins",,f,1589,1425,1155,1086,1086,984,949,949,2016
263,50,LAG,Any Lagunita Court (except Ujamaa),"Any,Lagunita",f,2457,2455,2455,2453,2415,2415,2235,2137,2016
264,51,LAG,"Adelfa, any room","Any,Adelfa",f,2235,2137,1761,1416,1332,1287,1263,1263,2016
265,433,LAG,"Adelfa, 1 room single occupancy","1 Room Single,Adelfa",f,1416,1332,1287,1263,1263,1138,1138,1075,2016
266,434,LAG,"Adelfa, 1 room double occupancy","1 Room Double,Adelfa",f,2235,2137,1761,,,,,,2016
267,52,LAG,"Eucalipto, any room","Any,Eucalipto",f,2457,2455,2455,1828,729,463,411,368,2016
268,54,LAG,"Eucalipto, 1 room double occupancy","1 Room Double,Eucalipto",f,2457,2455,2455,1828,,,,,2016
269,438,LAG,"Eucalipto, 1 room single occupancy","1 Room Single,Eucalipto",f,729,463,411,368,,,,,2016
270,439,LAG,"Eucalipto, triple occupancy","Triple,Eucalipto",f,,,,,,,,,2016
271,53,LAG,"Granada, any room","Any,Granada",f,2455,2455,1420,1369,1313,1095,607,,2016
272,436,LAG,"Granada, 1 room single occupancy","1 Room Single,Granada",f,1420,1369,1313,1095,607,,,,2016
273,437,LAG,"Granada, 1 room double occupancy","1 Room Double,Granada",f,2455,2455,,,,,,,2016
274,55,LAG,"Naranja, any room","Any,Naranja",f,2415,2415,872,829,744,744,669,669,2016
275,431,LAG,"Naranja, 1 room single occupancy","1 Room Single,Naranja",f,872,829,744,744,669,669,662,659,2016
276,432,LAG,"Naranja, 1 room double occupancy","1 Room Double,Naranja",f,2415,2415,,,,,,,2016
277,491,LAG,"Meier Hall, 1 room single occupancy","1 Room Single,Meier",f,160,115,115,109,14,,,,2016
278,493,LAG,"Meier Hall, 2 room double occupancy","2 Room Double,Meier",f,1252,1252,1233,1233,1088,1029,1029,1029,2016
279,496,LAG,"Norcliffe Hall, 1 room single occupancy","1 Room Single,Norcliffe",f,,,,,,,,,2016
280,498,LAG,"Norcliffe Hall, 2 room double occupancy","2 Room Double,Norcliffe",f,1355,1355,1355,1355,1355,1355,1157,1157,2016
281,,LAG,"Meier Hall, any room","Any,Meier",f,,,,,,,,,2016
282,492,LAG,"Meier Hall, 1 room double occupancy","1 Room Double,Meier",f,,,,,,,,,2016
283,,LAG,"Norcliffe Hall, any room","Any,Norcliffe",f,,,,,,,,,2016
284,497,LAG,"Norcliffe Hall, 1 room double occupancy","1 Room Double,Norcliffe",f,,,,,,,,,2016
285,57,LAG,Ujamaa,"Any,Ujamaa",f,88,,,,,,,,2016
286,57,LAG,Ujamaa,"Any,Ujamaa",f,,,,,,,,,2016
287,57,LAG,"Ujamaa, 1 room double occupancy","1 Room Double,Ujamaa",f,,,,,,,,,2016
288,57,LAG,"Ujamaa, 1 room double occupancy","1 Room Double,Ujamaa",f,,,,,,,,,2016
289,200,MAN,Any Manzanita Park (except Humanities Theme Residence),,f,1964,1946,1946,1839,1839,1839,1838,1838,2016
290,201,MAN,"Kimball Hall, any room","Any,Kimball",f,1964,1946,1946,1838,1838,1746,1726,1726,2016
291,261,MAN,"Kimball Hall, 1 room single occupancy","1 Room Single,Kimball",f,345,,,,,,,,2016
292,262,MAN,"Kimball Hall, 1 room double occupancy","1 Room Double,Kimball",f,1746,1696,1696,1696,1696,1696,1686,1686,2016
293,263,MAN,"Kimball Hall, triple occupancy","Triple,Kimball",f,1630,1630,1630,,,,,,2016
294,264,MAN,"Kimball Hall, 2 room double occupancy","2 Room Double,Kimball",f,1602,1577,1577,1570,1570,1542,1542,1529,2016
295,265,MAN,"Kimball Hall, quadruple occupancy","Quad,Kimball",f,1964,1946,1946,1838,1838,1726,1726,1726,2016
296,202,MAN,"Lantana, any room","Any,Lantana",f,1964,1764,1764,1732,1732,1731,1731,1731,2016
297,211,MAN,"Lantana, 1 room single occupancy","1 Room Single,Lantana",f,979,979,829,655,481,481,,,2016
298,212,MAN,"Lantana, 1 room double occupancy","1 Room Double,Lantana",f,1964,1764,1764,1732,1732,1731,1731,1731,2016
299,213,MAN,"Lantana, triple occupancy","Triple,Lantana",f,,,,,,,,,2016
300,214,MAN,"Lantana, 2 room double occupancy","2 Room Double,Lantana",f,1552,1552,1520,1520,1498,1498,1498,1441,2016
301,203,MAN,"Castaño, any room","Any,Castano",f,1964,1946,1946,1839,1839,1839,1833,1833,2016
302,251,MAN,"Castaño, 1 room single occupancy","1 Room Single,Castano",f,752,730,,,,,,,2016
303,252,MAN,"Castaño, 1 room double occupancy","1 Room Double,Castano",f,1964,1839,1839,1839,1833,1833,1833,1833,2016
304,253,MAN,"Castaño, triple occupancy room","Triple,Castano",f,1964,1946,1680,,,,,,2016
305,254,MAN,"Castaño, 2 room double occupancy","2 Room Double,Castano",f,1625,1625,1625,1625,1620,1620,1620,1596,2016
306,255,MAN,Humanities Theme Residence,"Any,Humanities House",f,1629,1563,1449,1449,1448,1163,1163,1033,2016
307,19,MIR,"Mirrielees, any apartment","Any,Mirrielees",f,39,39,,,,,,,2016
308,102,MIR,"Mirrielees, 2 BR double occupancy apartment","Double,Mirrielees",f,39,39,,,,,,,2016
309,103,MIR,"Mirrielees, 3 BR triple occupancy apartment","Triple,Mirrielees",f,,,,,,,,,2016
310,350,MIR,"Mirrielees, substance-free housing option","Substance Free Housing,Mirrielees",f,188,188,,,,,,,2016
311,32,ROB,"Roble Hall, any room","Any,Roble",f,2317,2317,1819,1819,1631,1584,1575,1575,2016
312,411,ROB,"Roble Hall, 1 room single occupancy","1 Room Single,Roble",f,1631,1584,1575,1575,1575,1574,1517,1517,2016
313,412,ROB,"Roble Hall, 1 room double occupancy","1 Room Double,Roble",f,2317,2317,1819,1819,1528,1528,,,2016
314,413,ROB,"Roble Hall, triple occupancy","Triple,Roble",f,,,,,,,,,2016
315,414,ROB,"Roble Hall, 2 room double occupancy","2 Room Double,Roble",f,,,,,,,,,2016
316,978,ROW,Muwekma-Tah-Ruk,"Any,Muwekma",f,48,48,,,,,,,2016
317,978,ROW,Muwekma-Tah-Ruk,"Any,Muwekma",f,148,,,,,,,,2016
318,920,ROW,Any Self-Operated House,"Any,Self Op",f,1961,1826,1802,1802,1802,1668,1660,1505,2016
319,907,ROW,Any Self-Operated Lower Row House,"Any,Lower Row Self Op",f,719,719,707,706,698,698,678,678,2016
320,,ROW,"1047 Campus, any room","Any,1047 Campus",f,698,698,678,678,631,542,426,426,2016
321,,ROW,"1047 Campus, premier room","Premium,1047 Campus",f,322,304,236,236,220,79,79,,2016
322,,ROW,"1047 Campus, standard room","Standard,1047 Campus",f,698,698,678,678,631,542,426,426,2016
323,922,ROW,"680 Lomita, any room","Any,680 Lomita",f,707,645,645,597,529,529,364,364,2016
324,908,ROW,"680 Lomita, premier room","Premium,680 Lomita",f,341,31,23,23,23,23,,,2016
325,909,ROW,"680 Lomita, standard room","Standard,680 Lomita",f,707,645,645,597,529,529,364,364,2016
326,930,ROW,"Xanadu, any room","Any,Xanadu",f,706,672,672,665,656,578,578,570,2016
327,998,ROW,"Xanadu, premier room","Premium,Xanadu",f,269,225,225,219,219,216,211,206,2016
328,999,ROW,"Xanadu, standard room","Standard,Xanadu",f,706,672,672,665,656,578,578,570,2016
329,965,ROW,"La Casa Italiana (Italian Language & Culture theme house), any room","Any,La Casa Italiana",f,279,197,197,151,151,134,108,43,2016
330,939,ROW,"La Casa Italiana (Italian Language & Culture theme house), premier room","Premium,La Casa Italiana",f,134,108,43,16,,,,,2016
331,940,ROW,"La Casa Italiana (Italian Language & Culture theme house), standard room","Standard,La Casa Italiana",f,279,197,197,151,151,,,,2016
332,986,ROW,"BOB, any room","Any,BOB",f,537,462,462,405,373,373,259,259,2016
333,912,ROW,"BOB, premier room","Premium,BOB",f,154,99,99,25,25,13,13,13,2016
334,913,ROW,"BOB, standard room","Standard,BOB",f,537,462,462,405,373,373,259,259,2016
335,990,ROW,"Mars, any room","Any,Mars",f,719,719,646,552,519,519,459,459,2016
336,946,ROW,"Mars, premier room","Premium,Mars",f,,,,,,,,,2016
337,947,ROW,"Mars, standard room","Standard,Mars",f,719,719,646,552,519,519,459,459,2016
338,993,ROW,Storey House (Human Biology theme house),"Any,Storey",f,490,253,253,240,77,77,74,74,2016
339,921,ROW,Any Self-Operated Upper Row House,"Any,Upper Row Self Op",f,1961,1826,1802,1802,1802,1668,1660,1505,2016
340,901,ROW,"Roth, any room","Any,Roth",f,1961,1826,1802,1802,1802,1668,1660,1505,2016
341,953,ROW,"Roth, premier room","Premium,Roth",f,107,107,,,,,,,2016
342,954,ROW,"Roth, standard room","Standard,Roth",f,1961,1826,1802,1802,1802,1668,1660,1505,2016
343,955,ROW,"717 Dolores, any room","Any,717 Dolores",f,1254,1165,1165,1165,1165,1096,964,964,2016
344,910,ROW,"717 Dolores, premier room","Premium,717 Dolores",f,,,,,,,,,2016
345,911,ROW,"717 Dolores, standard room","Standard,717 Dolores",f,1254,1165,1165,1165,1165,1096,964,964,2016
346,964,ROW,"Haus Mitteleuropa (Central European theme house), any room","Any,Haus Mitteleuropa",f,724,668,657,657,535,535,464,157,2016
347,937,ROW,"Haus Mitteleuropa (Central European theme house), premier room","Premium,Haus Mitteleuropa",f,,,,,,,,,2016
348,938,ROW,"Haus Mitteleuropa (Central European theme house), standard room","Standard,Haus Mitteleuropa",f,724,668,657,657,535,535,464,157,2016
349,966,ROW,"La Maison Française (French Language & Culture theme house), any room","Any,French House",f,305,292,292,284,60,,,,2016
350,924,ROW,"La Maison Française (French Language & Culture theme house), premier room","Premium,French House",f,,,,,,,,,2016
351,925,ROW,"La Maison Française (French Language & Culture theme house), standard room","Standard,French House",f,305,292,292,284,60,,,,2016
352,968,ROW,"Phi Sig, any room","Any,Phi Sigma",f,833,797,797,764,764,759,759,727,2016
353,951,ROW,"Phi Sig, premier room","Premium,Phi Sigma",f,,,,,,,,,2016
354,952,ROW,"Phi Sig, standard room","Standard,Phi Sigma",f,833,797,797,764,764,759,759,727,2016
355,970,ROW,"Durand, any room","Any,Durand",f,1402,1402,991,978,941,941,927,884,2016
356,916,ROW,"Durand, premier room","Premium,Durand",f,213,,,,,,,,2016
357,917,ROW,"Durand, standard room","Standard,Durand",f,1402,1402,991,978,941,941,927,884,2016
358,979,ROW,"Slavianskii Dom (Slavic/East European theme house), any room","Any,Slavianskii Dom",f,860,860,830,826,793,769,738,738,2016
359,956,ROW,"Slavianskii Dom (Slavic/East European theme house), premier room","Premium,Slavianskii Dom",f,280,46,,,,,,,2016
360,957,ROW,"Slavianskii Dom (Slavic/East European theme house), standard room","Standard,Slavianskii Dom",f,860,860,830,826,793,769,738,738,2016
361,987,ROW,"Grove, any room","Any,Grove",f,883,844,844,842,842,835,835,753,2016
362,926,ROW,"Grove, premier room","Premium,Grove",f,,,,,,,,,2016
363,927,ROW,"Grove, standard room","Standard,Grove",f,883,844,844,842,842,835,835,753,2016
364,923,ROW,Any Self-Operated Lake House,"Any,Self Op Lake",f,771,688,605,412,385,351,318,318,2016
365,960,ROW,"Narnia, any room","Any,Narnia",f,771,688,605,412,385,351,318,318,2016
366,948,ROW,"Narnia, premier room","Premium,Narnia",f,412,385,351,318,318,316,309,309,2016
367,949,ROW,"Narnia, standard room","Standard,Narnia",f,771,688,605,,,,,,2016
368,,ROW,"Jerry, any room","Any,Jerry",f,168,164,164,164,164,80,80,55,2016
369,941,ROW,"Jerry, premier room","Premium,Jerry",f,168,164,164,164,164,80,80,55,2016
370,,ROW,"Jerry, standard room","Stanard,Jerry",f,,,,,,,,,2016
371,994,ROW,ZAP,"Any,ZAP",f,880,873,873,788,779,701,633,628,2016
372,800,ROW,I will live in my fraternity/sorority house,,f,,,,,,,,,2016
373,976,ROW,Kairos (Cooperative House),"Any,Kairos",f,358,250,227,173,94,30,,,2016
374,977,ROW,Terra (Cooperative House),"Any,Terra",f,896,896,840,819,807,339,,,2016
375,981,ROW,576 Alvarado (Cooperative House),"Any,576 Alvarado",f,387,355,315,,,,,,2016
376,983,ROW,Columbae (Cooperative House),"Any,Columbae",f,563,563,526,493,458,418,252,229,2016
377,985,ROW,Enchanted Broccoli Forest (Cooperative House),"Any,EBF",f,439,404,404,312,312,,,,2016
378,996,ROW,Hammarskjöld (Cooperative House),"Any,Hammarskjold",f,,,,,,,,,2016
379,996,ROW,Hammarskjöld (Cooperative House),"Any,Hammarskjold",f,204,,,,,,,,2016
380,997,ROW,Synergy (Cooperative House),"Any,Synergy",f,913,777,767,757,687,687,680,587,2016
381,426,STN,Casa Zapata,"Any,Zapata",f,2714,2492,1846,,,,,,2016
382,426,STN,Casa Zapata,"Any,Zapata",f,2446,2358,2259,2177,,,,,2016
383,420,STN,Burbank,"Any,Burbank",f,,,,,,,,,2016
384,421,STN,Donner,"Any,Donner",f,,,,,,,,,2016
385,422,STN,Twain,"Any,Twain",f,,,,,,,,,2016
386,424,STN,Larkin,"Any,Larkin",f,,,,,,,,,2016
387,427,STN,Serra,"Any,Serra",f,,,,,,,,,2016
388,33,TOY,"Toyon Hall, any room","Any,Toyon",f,1653,1476,1456,1456,1366,1366,1353,1302,2016
389,291,TOY,"Toyon Hall, 1 room single occupancy","1 Room Single,Toyon",f,1205,1191,1067,,,,,,2016
390,292,TOY,"Toyon Hall, 1 room double occupancy","1 Room Double,Toyon",f,1353,1302,1302,1284,1284,1284,1284,1248,2016
391,293,TOY,"Toyon Hall, triple occupancy","Triple,Toyon",f,1653,1476,1456,1456,1366,1366,,,2016
392,294,TOY,"Toyon Hall, 2 room double occupancy","2 Room Double,Toyon",f,1206,1206,1178,1178,1178,1177,1166,1166,2016
393,295,TOY,"Toyon Hall, quadruple occupancy","Quad,Toyon",f,,,,,,,,,2016
394,736,WIL,Okada,"Any,Okada",f,3028,2996,2942,2308,2308,2237,1965,1965,2016
395,736,WIL,Okada,"Any,Okada",f,,,,,2929,1921,1758,,2016
396,741,WIL,"Trancos, any room","Any,Trancos",f,3028,2996,2996,2995,2987,2984,2959,2959,2016
397,743,WIL,"Trancos, 1 room single occupancy","1 Room Single,Trancos",f,1468,,,,,,,,2016
398,744,WIL,"Trancos, 1 room double occupancy","1 Room Double,Trancos",f,3028,2996,2996,2995,2987,2984,2959,2959,2016
399,734,WIL,Arroyo,"Any,Arroyo",f,,,,,,,,,2016
400,735,WIL,Cedro,"Any,Cedro",f,,,,,,,,,2016
401,738,WIL,Otero,"Any,Otero",f,,,,,,,,,2016
402,739,WIL,Rinconada,"Any,Rinconada",f,,,,,,,,,2016
403,740,WIL,Soto,"Any,Soto",f,,,,,,,,,2016
404,742,WIL,Junipero,"Any,Junipero",f,,,,,,,,,2016